,TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name
3420,E15,1.2791666666666666,103.84916666666666,No,LTA,Stop,Robinson Rd outside Robinson Centre
3421,E16,1.281111111111111,103.85138888888888,Yes,CCS,Stop,Raffles Quay at 6 Raffles Quay (near Telegraph Street)
3422,E18,1.2786111111111111,103.84972222222221,Yes,LTA,Stop,Shenton Way outside SGX Centre
3423,E19,1.2769444444444444,103.84888888888888,Yes,LTA,Stop,Shenton Way outside OUE Downtown
3424,E20,1.2741666666666667,103.84694444444445,Yes,LTA,Stop,Shenton Way outside MAS Building
3425,E21,1.2783333333333333,103.84416666666667,No,LTA,Stand,Cook St behind Murray Terrace Food Alley
3426,E22,1.2774999999999999,103.84305555555555,No,LTA,Stand,Duxton Rd at Shophouse No 61
3427,E23,1.2738888888888888,103.84194444444444,No,Private,Stop,Hoe Chiang Rd at Keppel Tower
3428,E25,1.2752777777777777,103.84305555555555,Yes,CCS,Stand,Tanjong Pagar Rd at Tanjong Pagar Plaza
3429,E26,1.2780555555555555,103.845,Yes,LTA,Stand,Peck Seah St opposite Nehsons Building
3430,E27,1.2730555555555556,103.84916666666666,Yes,CCS,Stand,Bernam St outside Fuji Xerox Towers
3431,E32,1.2838888888888889,103.85249999999999,Yes,CCS,Stop,Collyer Quay at Income@Raffles
3432,E33,1.2874999999999999,103.84861111111111,No,LTA,Stand,Circular Rd at Shophouse No. 5
3433,E34,1.2774999999999999,103.8436111111111,No,LTA,Stand,Tanjong Pagar Rd opposite Mac-Nels Building
3434,E35,1.2863888888888888,103.84861111111111,No,LTA,Stand,Lor Telok at Archipelago Brewery Building
3435,E36,1.28,103.85055555555554,No,LTA,Stop,Raffles Quay at Lau Pa Sat
3436,E37,1.2830555555555554,103.85277777777777,Yes,Private,Stop,Collyer Quay at OUE Bayfront
3437,E38,1.2783333333333333,103.8436111111111,No,LTA,Stand,Tanjong Pagar Rd at Shophouse No. 68
3438,E39,1.281388888888889,103.84861111111111,Yes,LTA,Stand,Cross St outside Telok Ayer DTL Station
